"dag","veckodag","presskonferens"
"2020-10-01","torsdag","1"
"2020-10-02","fredag",""
"2020-10-03","lördag",""
"2020-10-04","söndag",""
"2020-10-05","måndag",""
"2020-10-06","tisdag","1"
"2020-10-07","onsdag",""
"2020-10-08","torsdag","1"
"2020-10-09","fredag",""
"2020-10-10","lördag",""
"2020-10-11","söndag",""
"2020-10-12","måndag",""
"2020-10-13","tisdag","1"
"2020-10-14","onsdag",""
"2020-10-15","torsdag","1"
"2020-10-16","fredag",""
"2020-10-17","lördag",""
"2020-10-18","söndag",""
"2020-10-19","måndag",""
"2020-10-20","tisdag","1"
"2020-10-21","onsdag",""
"2020-10-22","torsdag","1"
"2020-10-23","fredag",""
"2020-10-24","lördag",""
"2020-10-25","söndag",""
"2020-10-26","måndag",""
"2020-10-27","tisdag","1"
"2020-10-28","onsdag",""
"2020-10-29","torsdag","1"
"2020-10-30","fredag",""
"2020-10-31","lördag",""
"2020-11-01","söndag",""
"2020-11-02","måndag",""
"2020-11-03","tisdag","1"
"2020-11-04","onsdag",""
"2020-11-05","torsdag","1"
"2020-11-06","fredag",""
"2020-11-07","lördag",""
"2020-11-08","söndag",""
"2020-11-09","måndag",""
"2020-11-10","tisdag","1"
"2020-11-11","onsdag",""
"2020-11-12","torsdag","1"
"2020-11-13","fredag",""
"2020-11-14","lördag",""
"2020-11-15","söndag",""
"2020-11-16","måndag",""
"2020-11-17","tisdag","1"
"2020-11-18","onsdag",""
"2020-11-19","torsdag","1"
"2020-11-20","fredag",""
"2020-11-21","lördag",""
"2020-11-22","söndag",""
"2020-11-23","måndag",""
"2020-11-24","tisdag","1"
"2020-11-25","onsdag",""
"2020-11-26","torsdag","1"
"2020-11-27","fredag",""
"2020-11-28","lördag",""
"2020-11-29","söndag",""
"2020-11-30","måndag",""
"2020-12-01","tisdag","1"
"2020-12-02","onsdag",""
"2020-12-03","torsdag","1"
"2020-12-04","fredag",""
"2020-12-05","lördag",""
"2020-12-06","söndag",""
"2020-12-07","måndag",""
"2020-12-08","tisdag","1"
"2020-12-09","onsdag",""
"2020-12-10","torsdag","1"
"2020-12-11","fredag",""
"2020-12-12","lördag",""
"2020-12-13","söndag",""
"2020-12-14","måndag",""
"2020-12-15","tisdag","1"
"2020-12-16","onsdag",""
"2020-12-17","torsdag","1"
"2020-12-18","fredag",""
"2020-12-19","lördag",""
"2020-12-20","söndag",""
"2020-12-21","måndag",""
"2020-12-22","tisdag","1"
"2020-12-23","onsdag",""
"2020-12-24","torsdag",""
"2020-12-25","fredag",""
"2020-12-26","lördag","1"
"2020-12-27","söndag",""
"2020-12-28","måndag",""
"2020-12-29","tisdag","1"
"2020-12-30","onsdag",""
"2020-12-31","torsdag",""
